n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
77,JAVA-5901,https://jira.mongodb.org/browse/JAVA-5901,human,not_relevant,wire-protocol,medium,ByteBuf.release() timing issue with Netty and GC.,LEAK : ByteBuf.release was not called,"under mongo-java-driver : 5.5.1, netty : 4.1.122-FINAL, jdk24 + ZGC
i can see such an error like below from time to time.
as i see, i can be timing issue.
for normal state, ByteBuf is read completely -> released -> GC collects
however, sometimes ByteBuf is read completely -> GC collects > released : this is ERROR!
can i get any suggestion or advice?

[related linkl|https://github.com/netty/netty/issues/15388]

{code}

LEAK: ByteBuf.release() was not called before it's garbage-collected. See https://netty.io/wiki/reference-counted-objects.html for more information.
Recent access records: 
Created at:
    io.netty.buffer.AbstractByteBufAllocator.compositeDirectBuffer(AbstractByteBufAllocator.java:224)
    io.netty.buffer.AbstractByteBufAllocator.compositeBuffer(AbstractByteBufAllocator.java:202)
    com.mongodb.internal.connection.netty.NettyStream.readAsync(NettyStream.java:301)
    com.mongodb.internal.connection.netty.NettyStream.handleReadResponse(NettyStream.java:361)
    com.mongodb.internal.connection.netty.NettyStream.access$900(NettyStream.java:115)
    com.mongodb.internal.connection.netty.NettyStream$InboundBufferHandler.channelRead0(NettyStream.java:437)
    com.mongodb.internal.connection.netty.NettyStream$InboundBufferHandler.channelRead0(NettyStream.java:434)
    io.netty.channel.SimpleChannelInboundHandler.channelRead(SimpleChannelInboundHandler.java:99)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:444)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:420)
    io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:412)
    io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1357)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:440)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:420)
    io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:868)
    io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:166)
    io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:796)
    io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:732)
    io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:658)
    io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:562)
    io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:998)
    io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
    io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
    java.base/java.lang.Thread.run(Unknown Source)

{code}",JAVA,Bug,Wire Protocol,,Problem/Incident:JAVA-6107|Related:JAVA-6038|Related:JAVA-6027|Related:JAVA-5982,avoidable_by_spec_conformance,medium
78,PYTHON-834,https://jira.mongodb.org/browse/PYTHON-834,human,not_relevant,,medium,Not about spec conformance,option to disable hostname validation during CA validation,"There are circumstances where you still require a CA to validate that your key and cert are valid, but forgo verifying that the hostname matches the CN.

This is already done in TxMongo which uses Twisted's SSL Context Factory to achieve the same thing.

Example of use-case (outside of MongoDB):
http://www.symantec.com/business/support/index?page=content&id=TECH141351",PYTHON,Improvement,,,,not_relevant,medium
79,GODRIVER-2565,https://jira.mongodb.org/browse/GODRIVER-2565,human,driver_spec_nonconformance,,low,Insufficient detail to classify.,Context cancelation before transaction commit does not abort,"The title of this ticket is my best guess at what's happening in the following situation :). (This came from [this slack conversation|https://mongodb.slack.com/archives/C7WJZNUTA/p1664474654586019]). See the attached test; occasionally, the test will loop continuously in the second transaction as the first transaction has not properly aborted its identical write server-side. I believe this is because we do not run {{AbortTransaction}} correctly when {{CommitTransaction}} encounters a context cancelation, but I'm not exactly sure. This requires further investigation and even if the aforementioned theory is correct, we need a more consistent regression test.",GODRIVER,Bug,,,Problem/Incident:BAAS-17083|Related:DRIVERS-2471|Related:GODRIVER-2997,not_relevant,low
80,JAVA-5408,https://jira.mongodb.org/browse/JAVA-5408,human,not_relevant,connection-string|logging,medium,CI/infrastructure,Remove GraalVM reachability metadata specific to org.mongodb:mongodb-crypt from :driver-core,"When {{org.mongodb:mongodb-crypt}} with the changes made in JAVA-5407 is released, and MongoDB Java driver depends on that new version, we should remove the reachability metadata that was added in JAVA-5407 to {{org.mongodb:mongodb-crypt}} from {{:driver-core}} (for example, the whole {{driver-core/src/main/resources/META-INF/native-image/jni-config.json}} was copied to {{org.mongodb:mongodb-crypt}} and should be removed from {{:driver-core}}).

*Important*: despite the following metadata entries having been added to {{bindings/java/mongocrypt/src/main/resources/META-INF/native-image/reflect-config.json}} in {{org.mongodb:mongodb-crypt}}, they must remain in {{:driver-core}}, because they are also used by {{:driver-core}}
{noformat}
{
  ""name"":""sun.security.provider.NativePRNG"",
  ""methods"":[{""name"":""<init>"",""parameterTypes"":[] }, {""name"":""<init>"",""parameterTypes"":[""java.security.SecureRandomParameters""] }]
}
{noformat}
{noformat}
{
  ""name"":""org.slf4j.Logger""
}
{noformat}",JAVA,Improvement,GraalVM,,Depends:JAVA-5407|Gantt End to End:JAVA-5219|Related:JAVA-3537,not_relevant,medium
81,CDRIVER-2005,https://jira.mongodb.org/browse/CDRIVER-2005,opus,not_relevant,,high,Evergreen Windows build mistakenly produces debug binaries; CI/build issue.,release-compile task on Evergreen Windows variants builds debug version of driver,"From looking at the build logs of a [recent ""release-compile"" task on the ""Windows (VS 2015)"" builder|https://evergreen.mongodb.com/task/mongo_c_driver_windows_2015_release_compile_7c7e5bf733c3891628b0526d6a20fc2ec3a014d4_17_01_27_19_07_21], it looks like a debug build of the driver is being built by mistake.

The logs show the compiler flags ""/MDd"" and ""/D _DEBUG"" being passed to cl.exe, and the value of $\{CMAKE_CFG_INTDIR} appears to be ""Debug"".

Perhaps the ""/p:Configuration=Release"" option needs to be passed to msbuild.exe?",CDRIVER,Bug,Build,,Related:CDRIVER-2079|Related:CDRIVER-2069,not_relevant,high
82,CDRIVER-2177,https://jira.mongodb.org/browse/CDRIVER-2177,opus,not_relevant,,high,Coverity-flagged resource leak in _mongoc_rpc_compress; internal memory bug.,Coverity analysis defect 101516: Resource leak,"Leak of memory or pointers to system resources

Defect 101516 (STATIC_C)
  Checker RESOURCE_LEAK (subcategory none)
  File:  {{/src/mongoc/mongoc-rpc.c}}
  Function {{_mongoc_rpc_compress}}
    /src/mongoc/mongoc-rpc.c, line: 676
    {color:red}Assigning: ""output"" = storage returned from ""bson_malloc0(output_length)"".{color} 
{code:first-line=676}
       output = (char *) bson_malloc0 (output_length);
{code}
    /src/mongoc/mongoc-rpc.c, line: 703
    {color:red}Variable ""output"" going out of scope leaks the storage it points to.{color} 
{code:first-line=703}
       return NULL;
{code}

",CDRIVER,Bug,libmongoc,,,not_relevant,low
83,CDRIVER-2603,https://jira.mongodb.org/browse/CDRIVER-2603,opus,not_relevant,,high,"pkg-config file lists redundant transitive shared lib dependencies; packaging/build-system issue, no spec impact.",Remove shared lib dependencies from pkg-config link line,"/usr/lib64/pkgconfig/libmongoc-1.0.pc contains:
{noformat}
Libs: -L${libdir} -lmongoc-1.0 -lsasl2  -lssl -lcrypto  -lrt -lresolv -lz  -lsnappy 
{noformat}
But applications linked against libmongoc probably don't need these library.

Reported as https://bugzilla.redhat.com/1560611
",CDRIVER,Bug,libmongoc,,,not_relevant,low
84,CDRIVER-2650,https://jira.mongodb.org/browse/CDRIVER-2650,opus,driver_spec_nonconformance,read-concern|wire-protocol,high,Driver appended readConcern both inside $query and at top level when wrapping for mongos; wire-protocol/read-concern command construction error.,"""find"" command for mongos can include readConcern twice","When we query mongos 3.2 or 3.4 with a read preference and read concern, the command should be assembled like:
{noformat}
{
  ""$query"": {
    ""find"": ""test"", ""filter"": {}, ""readConcern"": {""level"": ""majority""}
  },
  ""$readPreference"": {
    ""mode"": ""secondary""
  }
}
{noformat}
However, the driver sends:
{noformat}
{
  ""$query"": {
    ""find"": ""test"", ""filter"": {}, ""readConcern"": {""level"": ""majority""}
  },
  ""$readPreference"": {
    ""mode"": ""secondary""
  },
  ""readConcern"": {""level"": ""majority""}
}
{noformat}
mongos apparently ignores the outer readConcern.",CDRIVER,Bug,libmongoc,,,not_relevant,low
85,CDRIVER-2815,https://jira.mongodb.org/browse/CDRIVER-2815,opus,driver_spec_nonconformance,transactions,high,Transaction options not inherited from client when empty session opts; violates Transactions spec; mentions C++ driver failing spec tests.,Transactions options not inherited from client if empty options provided,"For a transaction, readConcern, writeConcern, and readPreferences should be inherited from the client when they aren't specified in {{startTransaction}} and aren't included in the default transaction options on the session.

In libmongoc, if a session is created with empty session options, the session won't inherit the transactions readConcern, writeConcern, and readPreferences from the client.

Compilable example:
{code:c}
#include <mongoc/mongoc.h>

int
main (int argc, char *argv[])
{
   mongoc_client_t *client = NULL;
   mongoc_client_session_t *session = NULL;
   mongoc_session_opt_t *session_opts = NULL;
   mongoc_transaction_opt_t *default_txn_opts = NULL;
   bson_error_t error;
   const mongoc_session_opt_t* returned_session_opts = NULL;
   const mongoc_transaction_opt_t* returned_transaction_opts = NULL;

   mongoc_init ();

   client = mongoc_client_new (""mongodb://localhost/?w=0"");
   /* construct session options and set an empty default transaction opts. */
   session_opts = mongoc_session_opts_new ();
   default_txn_opts = mongoc_transaction_opts_new ();
   mongoc_session_opts_set_default_transaction_opts (session_opts, default_txn_opts);
   session = mongoc_client_start_session (client, session_opts, &error);

   /* the default options should be inherited from the client but aren't */
   returned_session_opts = mongoc_client_session_get_opts (session);
   returned_transaction_opts = mongoc_session_opts_get_default_transaction_opts (returned_session_opts);
   BSON_ASSERT (mongoc_transaction_opts_get_write_concern (returned_transaction_opts) == NULL);
   /* transactions without an explicit write concern use NULL for the write concern. */

   mongoc_cleanup ();
   return 0;
}
{code}

{{mongoc_client_start_session}} overwrites the inherited transaction options by calling [_mongoc_session_opts_copy|https://github.com/mongodb/mongo-c-driver/blob/r1.12/src/libmongoc/src/mongoc/mongoc-client-session.c#L604] after inheritin",CDRIVER,Bug,libmongoc,,Depends:CXX-1531,driver_spec_nonconformance,high
86,CDRIVER-3036,https://jira.mongodb.org/browse/CDRIVER-3036,opus,driver_spec_nonconformance,change-streams,medium,change_stream_next should error when resume token _id is non-document; tightens Change Streams spec validation.,mongoc_change_stream_next should error if resume token is invalid,{{mongoc_change_stream_next()}} currently reports an error if the resume token ({{_id}}) is missing. It should also error if the field exists but is not a document type.,CDRIVER,Improvement,libmongoc,,Related:CDRIVER-2925,driver_spec_nonconformance,high
87,CDRIVER-3170,https://jira.mongodb.org/browse/CDRIVER-3170,opus,not_relevant,,high,calc_release_version.py Python 3 bytes/str regex bug; build script issue.,calc_release_version.py does not run under Python 3,"[See this failing evergreen task|https://evergreen.mongodb.com/task/mongo_c_driver_clang37_debug_compile_c11_patch_f08b93a091e807a67d83cb2ac6b65a5bdaac90f9_5cf663a02a60ed373e1a8d8c_19_06_04_12_27_13]. The relevant error is:

{noformat}
Traceback (most recent call last):
  File ""build/calc_release_version.py"", line 205, in <module>
    RELEASE_VER = previous(main()) if PREVIOUS else main()
  File ""build/calc_release_version.py"", line 112, in main
    head_tag_ver = check_head_tag()
  File ""build/calc_release_version.py"", line 77, in check_head_tag
    release_tag_match = RELEASE_TAG_RE.match(tag)
TypeError: cannot use a string pattern on a bytes-like object
CMake Error at CMakeLists.txt:10 (_message):
  BUILD_VERSION not specified and could not be calculated (script invocation
  failed); specify in CMake command, -DBUILD_VERSION=<version>
Call Stack (most recent call first):
  CMakeLists.txt:97 (message)
{noformat}",CDRIVER,Bug,Build,,,not_relevant,high
88,CDRIVER-3268,https://jira.mongodb.org/browse/CDRIVER-3268,opus,driver_spec_nonconformance,transactions|write-concern,high,Driver applied inherited unacknowledged writeConcern inside transaction; transactions spec explicitly forbids this.,Inherited unacknowledged write concern errors in transaction,"The /transactions/write-concern test is failing in master after a bug with parsing the {{runOn}} constraint of the spec tests was fixed in CDRIVER-3266.

The failing test was using an unacknowledged write concern as a collection option, and expecting operations within the transaction to not apply that write concern and succeed:

{noformat}
[2019/08/02 14:22:31.344] Expected success, got error ""Cannot use client session with unacknowledged writes"":
[2019/08/02 14:22:31.344] { ""name"" : ""insertOne"", ""object"" : ""collection"", ""collectionOptions"" : { ""writeConcern"" : { ""w"" : 0 } }, ""arguments"" : { ""session"" : ""session0"", ""document"" : { ""_id"" : 1 } }, ""result"" : { ""insertedId"" : 1 } }
{noformat}

Though the transaction's spec states:
{quote}
Drivers MUST NOT add the transaction’s writeConcern or any writeConcern inherited from the collection, database, or client to any preceding commands in the transaction.
{quote}",CDRIVER,Bug,libmongoc,,,driver_spec_nonconformance,high
